NombreCliente,NombreProducto,CantidadVendida,TotalVenta
Sally Lozano,Hit,2,63.04000000
Sally Lozano,Information,6,4078.98000000
Adam Lopez,Save,6,2581.98000000
Adam Lopez,Among,8,1675.44000000
Melinda Williams,Major,9,7368.39000000
Melinda Williams,Debate,3,368.82000000
Zachary Allen,Put,5,2695.30000000
Christopher Goodwin,Glass,2,1228.96000000
Douglas Middleton,Save,10,2896.10000000
Douglas Middleton,Scene,5,4833.30000000
Douglas Middleton,Section,4,610.00000000
Douglas Middleton,Move,9,7653.78000000
David Taylor,Memory,3,1449.03000000
Whitney Robles,Democratic,8,218.96000000
Joseph Campbell,Suggest,8,6383.44000000
Joseph Campbell,Later,2,1932.00000000
Joseph Campbell,Protect,8,2711.36000000
Joseph Campbell,Win,5,3009.45000000
Emily Green,Describe,9,6153.39000000
Emily Green,Firm,2,83.74000000
Emily Green,Whole,2,46.14000000
Emily Green,Operation,9,4427.28000000
Emily Green,Now,10,2699.40000000
David Mccarthy,Not,10,8426.40000000
David Mccarthy,Tree,3,1370.43000000
David Mccarthy,Program,4,3021.76000000
Jennifer Barnes,School,6,5241.00000000
Jennifer Barnes,Mission,10,1093.30000000
Jennifer Barnes,Woman,4,1900.28000000
Jason Parker,Pattern,1,443.21000000
Jason Parker,Structure,3,1600.47000000
Jason Parker,He,8,6164.80000000
Mary Taylor,Policy,10,2528.10000000
Mary Taylor,Table,7,2361.31000000
Debbie Gay,Name,10,3211.50000000
Debbie Gay,Only,8,5874.08000000
Debbie Gay,Raise,10,5501.60000000
Debbie Gay,Either,6,360.96000000
Debbie Gay,Official,4,3532.16000000
Hannah Andrews,Out,5,3233.45000000
Hannah Andrews,Able,4,84.76000000
Hannah Andrews,Performance,5,1142.70000000
Hannah Andrews,Newspaper,5,2758.45000000
Matthew Juarez,Only,3,680.28000000
Matthew Juarez,Thank,4,1735.68000000
Matthew Juarez,Customer,5,4711.90000000
Matthew Juarez,Serve,6,5031.96000000
Matthew Juarez,Each,8,439.20000000
Jasmine Roberts,Check,4,3401.96000000
Jasmine Roberts,Human,9,422.82000000
Richard Thomas,Hair,6,3446.40000000
Richard Thomas,Spring,7,5037.27000000
Richard Thomas,Sit,4,505.36000000
Richard Thomas,Mind,5,1774.55000000
Richard Williams,Situation,7,2833.53000000
Richard Williams,Arm,6,1491.18000000
Richard Williams,Small,8,1286.96000000
Richard Williams,Why,1,630.38000000
Bill Hill,Whose,6,825.30000000
Bill Hill,Vote,9,6649.29000000
Tony Le,Window,6,2029.62000000
Tony Le,Spring,7,2960.37000000
Tony Le,Almost,6,5045.40000000
Tony Le,Not,10,3279.90000000
Tony Le,Early,6,4231.20000000
James Patterson,Box,1,272.86000000
James Patterson,Discussion,5,3140.50000000
James Patterson,Door,10,3271.20000000
James Patterson,Standard,5,4901.85000000
Michael Bond,Medical,3,1516.17000000
Michael Bond,Compare,3,1244.58000000
Michael Bond,Skill,4,2089.80000000
Christine Good,Create,4,2770.92000000
Christine Good,Show,9,4689.00000000
Christine Good,Suffer,7,3934.07000000
Christine Good,Now,2,539.88000000
Christine Good,Long,5,172.90000000
Cheryl Garcia,Sport,4,1126.24000000
Cheryl Garcia,Experience,1,667.80000000
Cheryl Garcia,Place,3,2613.96000000
Cheryl Garcia,Subject,2,1292.30000000
Joshua Anderson,Someone,7,2319.52000000
Joshua Anderson,Across,5,1685.20000000
Joshua Anderson,Travel,6,5809.08000000
Kimberly Lam,Worry,9,2764.98000000
Kimberly Lam,Administration,10,8647.80000000
Kimberly Lam,Again,9,8345.52000000
Kimberly Lam,Great,6,878.94000000
Shelia Johnson,Very,2,193.16000000
Shelia Johnson,Course,5,993.10000000
Shelia Johnson,Avoid,8,745.36000000
Shelia Johnson,Senior,4,3660.20000000
Matthew Stein,Effect,4,2855.92000000
Matthew Stein,Need,8,7031.36000000
Matthew Stein,Him,9,4737.33000000
Matthew Stein,Student,8,4281.28000000
Brenda Taylor,Energy,1,45.65000000
Brenda Taylor,Media,4,1366.76000000
Brenda Taylor,Peace,7,4188.03000000
Eric Perkins,Before,9,2589.75000000
Eric Perkins,North,8,7062.72000000
Eric Perkins,Answer,8,6526.16000000
Eric Perkins,Idea,3,2038.41000000
Eric Perkins,Cut,8,1859.28000000
Mary Freeman,Best,2,1252.62000000
Mary Freeman,Leave,7,604.87000000
Mary Freeman,If,4,2690.32000000
Jane French,Us,1,586.53000000
Jane French,Build,9,2212.29000000
Jane French,Risk,7,510.58000000
Jeff Gonzales,Should,6,496.68000000
Jeff Gonzales,While,9,8126.73000000
Jeff Gonzales,Painting,5,4185.55000000
Robert Carey,Design,3,2549.82000000
Shelley Mcintyre,Tend,6,4421.64000000
Shelley Mcintyre,Peace,8,901.12000000
Shelley Mcintyre,Course,10,309.80000000
Shelley Mcintyre,Medical,1,505.39000000
Shelley Mcintyre,Southern,4,3449.16000000
Linda Liu,Rich,5,1448.95000000
Linda Liu,Parent,3,736.89000000
Linda Liu,Away,6,415.08000000
Linda Liu,Western,3,599.49000000
Linda Liu,Time,5,3893.75000000
Michael Simmons,Former,4,2652.28000000
Michael Simmons,Attack,1,273.31000000
Michael Simmons,Poor,2,1299.72000000
Joel Rich,Center,5,2801.60000000
Joel Rich,Certain,8,6170.56000000
John Irwin,Woman,4,3175.16000000
John Irwin,Quality,1,407.73000000
John Irwin,Perform,4,1322.04000000
John Irwin,Early,4,2820.80000000
Ryan Gordon,Law,7,44.59000000
Susan Ball,Real,7,1288.00000000
Susan Ball,Everyone,7,2027.97000000
Susan Ball,Whether,8,6750.72000000
Miranda Gates,Toward,5,2756.55000000
Susan Ball,Small,8,7967.60000000
Susan Ball,Speak,2,426.86000000
Susan Ball,Trade,9,5337.00000000
Mallory Torres,Each,2,1445.62000000
Mallory Torres,Glass,9,5530.32000000
Daniel Miller,Every,10,6429.10000000
Anna Smith,Mr,1,90.78000000
Anna Smith,Speak,10,7068.60000000
Anna Smith,Remain,3,445.11000000
Anna Smith,Type,6,2656.86000000
Nicole Garcia,Authority,10,8054.70000000
Nicole Garcia,Subject,6,3876.90000000
Nicole Garcia,Thing,10,7748.10000000
Nicole Garcia,Road,8,5238.16000000
Omar Garcia,Everything,9,3307.50000000
Omar Garcia,Member,7,1021.79000000
Omar Garcia,Carry,10,5130.40000000
Omar Garcia,Eight,2,795.28000000
Omar Garcia,Song,4,2055.00000000
Michael Todd,American,5,301.70000000
Michael Todd,Rock,1,348.57000000
Michael Todd,Require,9,4348.53000000
David Martinez,Back,6,1126.44000000
David Martinez,Already,7,5455.10000000
David Martinez,Serious,7,5691.14000000
David Martinez,Without,6,1226.94000000
David Martinez,Raise,7,3851.12000000
Jamie Blackburn,Safe,5,390.05000000
Jamie Blackburn,Trouble,7,3780.63000000
Jamie Blackburn,Magazine,7,2866.29000000
Jamie Blackburn,Choice,1,58.21000000
Sandra Blake,Third,8,7061.36000000
Sandra Blake,Dark,2,208.66000000
Sandra Blake,Line,4,2827.80000000
Sandra Blake,Book,9,2238.93000000
John Tran,Public,10,3400.40000000
John Tran,Road,9,7808.22000000
John Tran,Might,2,862.34000000
Kelly Cook,Along,5,638.50000000
Kelly Cook,Social,8,6036.88000000
Kelly Cook,Perhaps,8,7237.12000000
Kelly Cook,Road,7,5334.91000000
Kelly Cook,Throw,4,3561.76000000
Justin Marshall,Several,5,620.20000000
Justin Marshall,Eat,3,2884.26000000
Justin Marshall,Glass,1,116.74000000
Billy Duke,Project,7,6974.38000000
Billy Duke,Other,5,3569.70000000
Billy Duke,Why,6,767.04000000
Billy Duke,School,3,2620.50000000
Brittany Frank,Top,2,1516.82000000
Adam Dixon,Traditional,3,945.57000000
Mark Miller,Remain,3,829.65000000
Brandy Hayes,Recognize,6,1146.54000000
Brandy Hayes,Practice,1,136.31000000
Brandy Hayes,Store,8,4434.40000000
David Jackson,Interview,8,3152.32000000
David Jackson,Laugh,6,881.82000000
David Jackson,Country,9,7367.13000000
David Jackson,Impact,1,116.39000000
David Jackson,Control,4,1944.92000000
John Webster,Research,4,1832.04000000
John Webster,Read,9,3347.91000000
John Webster,Perform,1,181.49000000
John Webster,Quality,7,2854.11000000
Dylan Arellano,Party,5,1528.35000000
Dylan Arellano,Yes,10,8728.60000000
Dylan Arellano,Whether,3,627.54000000
Luis Turner,Car,1,880.77000000
Mike Brown,Focus,10,2422.60000000
Yolanda Cooper,Wall,2,991.44000000
Yolanda Cooper,Choice,5,54.45000000
Timothy Garza,Although,9,4734.54000000
Timothy Garza,Never,7,2764.37000000
Timothy Garza,Military,10,2090.20000000
Timothy Garza,Second,8,4600.96000000
Benjamin Dickerson,Human,7,328.86000000
Jennifer Fields,Health,8,6535.84000000
Jennifer Fields,Both,4,3388.48000000
Jennifer Fields,Bag,8,7242.48000000
Jennifer Fields,Movie,4,1538.76000000
Daniel Callahan,Although,8,5033.20000000
Danielle Duncan,White,6,2152.08000000
Danielle Duncan,Cup,3,2829.24000000
Danielle Duncan,Law,5,51.45000000
Danielle Duncan,Practice,7,954.17000000
Philip Pittman,Treatment,9,1554.93000000
Michael Hurst,Why,4,511.36000000
Michael Hurst,Lose,7,1110.27000000
Michael Hurst,Them,5,1384.05000000
Michael Hurst,Training,3,143.73000000
Michael Hurst,Dark,6,625.98000000
William Marshall,Smile,3,38.28000000
William Marshall,Far,5,4578.70000000
William Marshall,Field,3,166.98000000
William Marshall,Adult,2,89.74000000
Chelsea Reid,Them,6,2672.70000000
Chelsea Reid,Without,4,3653.28000000
Chelsea Reid,Either,9,1333.35000000
Chelsea Reid,Practice,9,1226.79000000
David Clayton,Fly,7,3477.95000000
David Clayton,Situation,3,1214.37000000
David Clayton,Artist,8,6502.80000000
Anthony Thompson,Skill,2,1125.86000000
Anthony Thompson,Machine,1,771.13000000
Anthony Thompson,Safe,10,6770.80000000
Anthony Thompson,Already,4,3725.56000000
Anthony Thompson,May,9,5921.64000000
Emily Rivera,Language,4,3017.36000000
Emily Rivera,Back,1,187.74000000
Allison Andrews,Stock,6,1670.82000000
Allison Andrews,Message,7,5786.55000000
Allison Andrews,Prove,3,2574.78000000
Cassandra Wright,Enjoy,6,1045.86000000
Cassandra Wright,Society,1,813.84000000
Cassandra Wright,Fact,4,1450.32000000
Cassandra Wright,Serve,1,397.61000000
Roger King,Huge,6,3612.18000000
Roger King,Central,1,323.05000000
Roger King,Away,4,2348.44000000
Roger King,Top,1,758.41000000
Roger King,Central,10,3230.50000000
Angelica Brooks,Not,8,6741.12000000
Angelica Brooks,West,3,849.03000000
Angelica Brooks,Draw,5,3360.85000000
Angelica Brooks,East,6,1336.32000000
Angelica Brooks,Word,5,3143.95000000
Eric White,Structure,5,2667.45000000
Eric White,Act,2,20.08000000
Eric White,View,4,1215.56000000
Eric White,Art,7,2032.66000000
Eric White,Capital,6,380.10000000
Kathy Dillon,Ball,1,990.66000000
Kathy Dillon,Able,4,902.80000000
Kathy Dillon,Clearly,6,932.34000000
Sara Gill,Dream,6,2835.24000000
Sara Gill,Others,10,5064.70000000
Sara Gill,Yard,9,316.53000000
Sara Gill,Than,3,408.03000000
Colleen Randolph,Talk,2,823.62000000
Colleen Randolph,Answer,5,3136.55000000
Colleen Randolph,Decision,5,574.10000000
Colleen Randolph,Vote,1,61.52000000
Thomas Powers,North,4,3551.36000000
Thomas Powers,Speech,5,4797.50000000
Jason Miller,Scientist,9,6082.38000000
Jason Miller,Peace,10,8692.40000000
Jason Miller,Phone,5,876.20000000
Paul Jefferson,Parent,3,1688.22000000
Paul Jefferson,Animal,7,2348.29000000
Paul Jefferson,Child,2,1554.32000000
George Moore,Both,1,983.30000000
George Moore,Kitchen,10,6541.30000000
George Moore,Theory,2,954.88000000
George Moore,Name,9,5291.46000000
George Moore,Difference,9,5345.28000000
Dennis Robinson,Water,5,222.70000000
Dennis Robinson,Them,2,553.62000000
Dennis Robinson,Song,8,4110.00000000
William Terrell,Listen,9,3895.11000000
William Terrell,Ahead,4,2590.04000000
William Terrell,Need,2,1757.84000000
William Terrell,Something,5,1583.90000000
William Terrell,Fish,4,2889.72000000
Ryan Schmidt,Edge,2,1048.64000000
Ryan Schmidt,Huge,8,6599.20000000
Ryan Schmidt,Require,6,2725.44000000
Ryan Schmidt,Great,10,1464.90000000
Ryan Schmidt,Pick,6,3751.80000000
April Cole,Would,9,721.53000000
April Cole,Item,10,6145.90000000
April Cole,Under,3,1768.92000000
April Cole,Forget,8,7794.00000000
Lisa Ramos,Window,3,1014.81000000
Dean Graham,Bag,9,8147.79000000
Dean Graham,Skin,6,4265.88000000
Dean Graham,Yet,1,926.50000000
Dean Graham,Goal,8,430.00000000
Edward Heath,Away,6,3522.66000000
John Liu,Building,6,5683.08000000
John Liu,Far,6,5449.26000000
John Liu,So,9,1367.73000000
Bradley Holder,Teach,4,548.88000000
Bradley Holder,International,2,625.26000000
Leah Fox,Trouble,6,3240.54000000
Leah Fox,Generation,3,2159.61000000
Timothy Baird,His,10,9779.20000000
Kelly Huynh,Perform,5,1652.55000000
Kelly Huynh,Model,3,1187.55000000
Kelly Huynh,Debate,6,737.64000000
Kelly Huynh,Herself,3,692.64000000
Anthony Morgan,Likely,7,1036.07000000
Brenda Brown,Spring,6,4317.66000000
Brenda Brown,Attorney,1,340.94000000
Brenda Brown,Far,10,3546.80000000
Brenda Brown,Outside,7,2118.48000000
Brenda Brown,Trip,4,1903.12000000
Jeffrey Fuller,Idea,1,831.16000000
Jeffrey Fuller,Vote,10,8322.20000000
Jeffrey Fuller,Current,2,191.16000000
Jeffrey Fuller,Party,8,1482.56000000
Richard Hopkins,Certain,7,6661.69000000
Richard Hopkins,Difference,3,1636.86000000
Richard Hopkins,Certain,10,839.40000000
John Boyd,New,7,87.92000000
William Madden,Scene,2,1933.32000000
William Madden,Democratic,7,4905.67000000
Bradley James,Office,6,384.54000000
Bradley James,Act,5,3285.85000000
Megan Lynch,Wear,2,842.78000000
Megan Lynch,Four,2,540.62000000
Megan Lynch,Short,9,7250.40000000
Megan Lynch,Activity,4,1947.96000000
Regina Collier,Win,8,2053.76000000
Regina Collier,Strong,3,1302.57000000
Regina Collier,What,7,6779.01000000
Susan Rogers,Matter,6,1163.34000000
Susan Rogers,Guess,8,4010.00000000
Cheryl Harvey,Whole,8,1040.80000000
Sarah Woods,News,3,2915.07000000
Sarah Woods,Activity,2,973.98000000
Sarah Woods,Glass,2,233.48000000
Sarah Woods,Government,7,2270.24000000
Stephen Hernandez,Visit,7,4834.27000000
Stephen Hernandez,Off,4,3489.80000000
Stephen Hernandez,Interest,9,6977.07000000
Kim Ramirez,Laugh,10,8398.50000000
Kim Ramirez,Section,4,876.68000000
Kim Ramirez,Performance,8,1828.32000000
Kim Ramirez,Single,6,216.72000000
Anita Donaldson,Group,8,5163.20000000
Anita Donaldson,Particularly,3,320.25000000
Robert Smith,Either,4,3439.04000000
Robert Smith,Quickly,3,1649.01000000
Robert Smith,Thank,9,3905.28000000
Robert Smith,Interview,1,394.04000000
Robert Smith,End,8,6744.88000000
Timothy Pearson,Admit,9,2252.52000000
Timothy Pearson,Until,7,4306.61000000
Brian Hancock,Glass,4,466.96000000
Brian Hancock,Source,8,1029.52000000
Brian Hancock,Parent,5,1228.15000000
Brian Hancock,Agency,1,700.15000000
Brian Hancock,Country,7,6123.25000000
Diana Walton,Push,9,8904.78000000
Diana Walton,Already,8,7336.00000000
Diana Walton,Away,3,1761.33000000
Diana Walton,Discuss,7,5274.57000000
Timothy Jones,North,5,1262.45000000
Timothy Jones,Maybe,4,3400.88000000
Timothy Jones,If,9,6053.22000000
Timothy Jones,Information,9,5963.13000000
Timothy Jones,Management,4,478.20000000
Laurie Ross,Black,10,7803.10000000
Laurie Ross,Whether,7,5906.88000000
Laurie Ross,That,8,1319.28000000
John Norris,Doctor,9,2753.37000000
Franklin White,Sure,6,3438.72000000
Franklin White,Laugh,5,3385.90000000
Franklin White,Leave,8,5147.92000000
Franklin White,Smile,8,102.08000000
Franklin White,Inside,3,2567.46000000
Bradley Johnson,Language,2,241.38000000
Bradley Johnson,Bring,5,3559.30000000
Bradley Johnson,Wear,3,690.69000000
Lisa Mcintosh,Air,10,4933.30000000
Lisa Mcintosh,Skill,9,5066.37000000
Lisa Mcintosh,Debate,9,1057.32000000
Lisa Mcintosh,Training,4,191.64000000
Samuel Byrd,Member,3,437.91000000
Christopher Gomez,Exist,6,4315.02000000
Christopher Gomez,Around,10,9650.60000000
Christopher Gomez,Administration,9,7783.02000000
Christopher Gomez,Including,3,2421.09000000
Christopher Gomez,End,6,2671.92000000
Rhonda Castro,Notice,3,2536.32000000
Rhonda Castro,Away,8,7211.92000000
Sean Davis,Fish,4,2646.24000000
Sean Davis,Second,5,4122.80000000
Sean Davis,Door,6,3214.08000000
Philip Pittman,Image,6,5843.88000000
Philip Pittman,Glass,3,2869.41000000
Philip Pittman,Hold,2,232.20000000
Philip Pittman,Third,10,7343.50000000
Philip Pittman,Public,7,5500.95000000
Andrew Gonzales,Listen,8,3488.08000000
Andrew Gonzales,Other,3,2141.82000000
Andrew Gonzales,Film,8,996.64000000
Jacqueline Daniels,Argue,6,314.52000000
Lauren Watson,Generation,4,3767.44000000
Lauren Watson,Enough,7,3423.70000000
Lauren Watson,World,6,5276.28000000
Lauren Watson,Bit,2,450.18000000
Kara Fields,Sure,2,1146.24000000
Kara Fields,Attention,5,1357.45000000
Kara Fields,Happen,1,165.33000000
Joseph Lara,Throw,8,1314.40000000
Joseph Lara,Memory,7,3381.07000000
Joseph Lara,Capital,1,63.35000000
Joseph Lara,Perform,6,5211.72000000
Joseph Lara,Next,2,1823.54000000
William Keller,Beat,7,1567.44000000
William Keller,Alone,7,5881.33000000
William Keller,Lawyer,4,1527.04000000
William Keller,Quickly,3,1599.21000000
William Keller,Name,6,4426.92000000
Stacey Pitts,Forward,1,363.35000000
Stacey Pitts,Sure,5,2865.60000000
Bobby Powell,Relationship,2,1610.64000000
Bobby Powell,Sometimes,2,1591.66000000
Bobby Powell,Deal,2,1585.58000000
Larry Hines,Where,3,1750.56000000
Jon Mckee,Firm,1,41.87000000
Jon Mckee,Instead,9,7645.32000000
Frederick Mejia,Turn,5,1525.05000000
Frederick Mejia,Bill,10,7851.70000000
Amy Ortiz,With,2,32.40000000
Jeffrey Ramirez,Forget,7,3385.69000000
Jeffrey Ramirez,Only,8,5874.08000000
Jeffrey Ramirez,Nearly,4,999.04000000
Jeffrey Ramirez,Ever,1,884.23000000
Jeffrey Ramirez,Show,9,917.82000000
Sarah Anderson,Record,5,1600.95000000
Sarah Anderson,Two,9,6026.04000000
Sarah Anderson,International,1,312.63000000
Sarah Anderson,Difference,10,5939.20000000
Sarah Anderson,Bill,2,1426.00000000
Sarah Cooper,Hit,1,43.83000000
Sarah Cooper,Particularly,4,1198.36000000
Sarah Cooper,Color,4,3491.12000000
Jennifer Nunez,Less,2,1663.32000000
Jennifer Nunez,Human,9,422.82000000
Joseph Figueroa,Some,8,5428.48000000
Joseph Figueroa,Improve,6,948.00000000
Joseph Figueroa,Administration,4,3936.52000000
Joseph Figueroa,Agency,10,366.30000000
Joseph Figueroa,Investment,6,4376.88000000
Andrew Lowe,True,7,6619.27000000
Andrew Lowe,Treatment,4,2479.28000000
Andrew Lowe,Eye,4,1252.76000000
Andrew Lowe,Lawyer,10,6482.80000000
Andrew Lowe,Law,1,10.29000000
Natasha Singleton,Finally,10,7428.20000000
Natasha Singleton,Wonder,7,5785.01000000
Natasha Singleton,End,3,1335.96000000
Natasha Singleton,Either,9,1857.15000000
Natasha Singleton,Budget,5,1989.35000000
Alex Reynolds,Stop,8,7089.28000000
Alex Reynolds,Affect,7,1911.14000000
Aaron Cobb,Bed,5,1932.45000000
Aaron Cobb,Situation,9,5835.06000000
Aaron Cobb,Other,7,4997.58000000
Aaron Cobb,Last,3,1452.87000000
Troy Mclean,Evening,4,1163.16000000
Troy Mclean,Change,6,2275.56000000
William Stokes,Laugh,5,3385.90000000
Kimberly Solomon,Customer,3,1836.42000000
Kimberly Solomon,Water,1,856.17000000
Kimberly Solomon,Almost,4,3363.60000000
Kimberly Solomon,Affect,1,273.02000000
Mark Wilson,Every,9,5786.19000000
Mark Wilson,Heart,3,787.11000000
Mark Wilson,Shoulder,10,2035.10000000
Mark Wilson,Glass,5,4782.35000000
Jacob Henderson,Assume,3,2106.57000000
Jacob Henderson,Military,7,1463.14000000
Jacob Henderson,Door,1,327.12000000
Jacob Henderson,Through,6,1049.46000000
Robin Baldwin,Rich,4,3642.68000000
Robin Baldwin,Peace,2,1505.74000000
Robin Baldwin,Another,3,1769.97000000
Kristin Price,Worker,1,341.34000000
Kristin Price,Firm,10,2675.30000000
Kristin Price,Later,4,3864.00000000
Kristin Price,Responsibility,3,1630.08000000
Kristin Price,At,4,3972.40000000
Justin Knight,Country,9,7872.75000000
Justin Knight,Mrs,5,2034.35000000
Justin Knight,Guy,4,553.16000000
Justin Knight,Fund,7,6787.48000000
Joshua Wood,Per,10,2545.40000000
Joshua Wood,Structure,6,1550.40000000
Joshua Wood,Spring,9,3806.19000000
Jesse Mullins,Next,1,376.11000000
Christine Black,Value,9,6364.53000000
Christine Black,South,10,4812.80000000
Christine Black,Program,8,6908.56000000
Mark Johnson,Statement,3,65.13000000
Mark Johnson,Stand,3,450.93000000
Mark Johnson,Middle,9,8602.02000000
Mark Johnson,Lose,3,773.76000000
Mark Johnson,Which,6,2044.02000000
Ashley Roach,Third,2,1713.78000000
Ashley Roach,Amount,7,2097.97000000
Ashley Roach,Experience,8,6774.64000000
Ashley Roach,Water,9,2448.09000000
Ashley Roach,Up,5,3830.95000000
Dylan Reynolds,Work,7,995.12000000
Justin Caldwell,Serve,6,4716.18000000
Justin Caldwell,Deal,4,3171.16000000
Justin Caldwell,Table,7,2361.31000000
Jose Cox,Sound,8,3302.16000000
Jose Cox,Race,2,1288.10000000
Jose Cox,Road,3,1964.31000000
Jose Cox,Bill,9,8861.76000000
Dylan Hogan,Raise,10,8878.20000000
Dylan Hogan,Foreign,5,1007.30000000
William Greene,Certain,6,503.64000000
William Greene,Child,1,777.16000000
James Atkinson,Effect,10,391.20000000
James Atkinson,Commercial,6,5398.98000000
James Atkinson,Interest,2,882.68000000
James Atkinson,Provide,4,3395.40000000
Gabriel Taylor,Begin,4,239.04000000
Logan Merritt,Single,6,3767.28000000
Logan Merritt,Time,6,863.10000000
Logan Merritt,Various,1,164.29000000
Logan Merritt,Piece,1,815.96000000
Logan Merritt,Day,6,816.78000000
Joshua Gonzales,Line,7,4948.65000000
Aaron Hernandez,Without,1,913.32000000
Aaron Hernandez,Summer,4,731.92000000
Aaron Hernandez,Door,7,1626.38000000
Aaron Hernandez,Serve,5,627.30000000
Aaron Hernandez,Door,3,1607.04000000
Kyle Rose,Break,7,792.61000000
Kyle Rose,Not,2,1812.82000000
Kyle Rose,Another,1,777.13000000
Kyle Rose,Whether,1,209.18000000
Kyle Rose,Least,6,2547.78000000
Gregory Banks,Subject,5,3230.75000000
Gregory Banks,Result,7,5043.43000000
Gregory Banks,Scientist,10,6758.20000000
Gregory Richardson,Behind,9,4435.38000000
Kathy Martinez,Production,8,3410.24000000
Kathy Martinez,Campaign,9,46.71000000
Brittany Williams,Down,5,4544.00000000
Brittany Williams,Market,3,2283.45000000
Brittany Williams,Maybe,2,1057.38000000
Brittany Williams,Road,5,2520.95000000
Brittany Williams,Water,9,3335.22000000
Kathleen West,Later,9,1692.63000000
Kathleen West,Yes,5,4660.85000000
Alexander Fisher,Memory,6,2254.32000000
Alexander Fisher,Beat,10,2239.20000000
Breanna Boyle,Woman,7,3792.60000000
Breanna Boyle,Bank,8,2303.76000000
Breanna Boyle,Food,1,61.22000000
Kathryn Ortiz,While,6,3320.16000000
Kathryn Ortiz,Outside,6,4379.88000000
